date,sleep_start_time,wake_time,total_sleep_minutes,deep_minutes,light_minutes,rem_minutes,awake_minutes,movement_sample_minutes,movement_level_mean,movement_level_max,movement_active_minutes,movement_active_threshold,steps_total,avg_heart_rate,min_heart_rate,max_heart_rate,avg_stress_score,presleep_stress_score,resting_heart_rate,awake_count,sleep_segment_count
2026-07-12,2026-07-12T02:39:00+08:00,2026-07-12T15:29:00+08:00,765,298,467,0,5,890,0.583,5.524,118,1.0,121,66.44,49.0,114.0,25.79,3.29,54,2,15
2026-07-13,,,0,0,0,0,0,0,,,,1.0,10088,88.24,40.0,165.0,48.61,,,,
2026-07-14,,,0,0,0,0,0,0,,,,1.0,18551,90.46,51.0,132.0,63.33,,,,
2026-07-15,,,0,0,0,0,0,0,,,,1.0,7339,94.97,73.0,132.0,63.02,,,,
2026-07-16,,,0,0,0,0,0,0,,,,1.0,0,54.49,45.0,97.0,2.06,,,,
2026-07-17,2026-07-17T03:09:00+08:00,2026-07-17T09:55:00+08:00,404,44,270,90,2,526,1.184,5.744,213,1.0,279,56.03,45.0,110.0,7.12,,52,3,13
2026-07-18,,,0,0,0,0,0,0,,,,1.0,0,54.93,46.0,87.0,3.32,,,,
2026-07-19,2026-07-19T04:14:00+08:00,2026-07-19T15:21:00+08:00,662,420,242,0,5,787,0.601,5.515,146,1.0,86,54.31,44.0,89.0,3.6,,51,5,27
2026-07-20,2026-07-20T04:20:00+08:00,2026-07-20T11:45:00+08:00,411,84,220,107,34,565,1.117,5.681,255,1.0,47,53.73,44.0,100.0,3.99,2.62,51,5,25
2026-07-21,2026-07-21T03:58:00+08:00,2026-07-21T12:53:00+08:00,507,39,355,113,28,655,1.126,5.981,250,1.0,412,56.93,44.0,112.0,10.28,3.92,53,6,24
2026-07-22,,,0,0,0,0,0,0,,,,1.0,0,54.98,48.0,91.0,5.44,,,,
2026-07-23,2026-07-23T04:53:00+08:00,2026-07-23T11:00:00+08:00,361,62,205,94,6,487,1.306,5.85,205,1.0,63,54.19,46.0,105.0,8.01,,52,4,23
2026-07-24,,,0,0,0,0,0,0,,,,1.0,0,58.43,49.0,89.0,5.96,,,,
2026-07-25,2026-07-25T03:15:00+08:00,2026-07-25T12:00:00+08:00,477,77,298,102,48,645,1.056,5.694,274,1.0,123,56.05,47.0,98.0,5.23,,56,7,28
2026-07-26,,,0,0,0,0,0,0,,,,1.0,44,56.02,46.0,97.0,3.55,,,,
2026-07-27,2026-07-27T04:01:00+08:00,2026-07-27T12:17:00+08:00,483,78,325,80,13,616,0.943,5.57,186,1.0,217,53.0,44.0,90.0,2.68,,50,5,22
2026-07-28,,,0,0,0,0,0,0,,,,1.0,0,57.0,48.0,66.0,,,,,
2026-07-29,,,0,0,0,0,0,0,,,,1.0,1809,82.96,54.0,112.0,40.5,,,,
2026-07-30,,,0,0,0,0,0,0,,,,1.0,72,78.93,42.0,121.0,48.58,,,,
